Nome / Razão Social;Vínculo com o RGP;Número no RGP;cidade;UF;Tipo de Pessoa
COMPESCAL ************************************;Indústria de pesca;CEI00003348 ;Aracati,CE,Brasil;CE;Pessoa Jurídica
COMPESCAL ************************************;Indústria de pesca;CEI00003348 ;Aracati,CE,Brasil;CE;Pessoa Jurídica
COMPESCAL ************************************;Indústria de pesca;CEI00003348 ;Aracati,CE,Brasil;CE;Pessoa Jurídica
COMPEX ***********************************************;Indústria de pesca;CEI00041014 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
COMPEX ***********************************************;Indústria de pesca;CEI00003128 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
COMPEX ***********************************************;Indústria de pesca;CEI00003128 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
COMPEX ***********************************************;Indústria de pesca;CEI00003128 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
CONDESSA **************************;Indústria de pesca;CEI00032295 ;Camocim,CE,Brasil;CE;Pessoa Jurídica
CONDESSA **************************;Indústria de pesca;CEI00032295 ;Camocim,CE,Brasil;CE;Pessoa Jurídica
CONDESSA **************************;Indústria de pesca;CEI00032295 ;Camocim,CE,Brasil;CE;Pessoa Jurídica
CONDESSA *****************************************;Indústria de pesca;PAI00029250 ;Belém,PA,Brasil;PA;Pessoa Jurídica
CONSERVAS *********************;Indústria de pesca;RJI00035767 ;São Gonçalo,RJ,Brasil;RJ;Pessoa Jurídica
Cooperativa ******************;Indústria de pesca;PRI00021870 ;Matelândia,PR,Brasil;PR;Pessoa Jurídica
Cooperativa *******************************************;Indústria de pesca, Proprietário de embarcação;PBI00025794 ;Cabedelo,PB,Brasil;PB;Pessoa Jurídica
COOPERATIVA ***************************************************************;Indústria de pesca;MGI00031591 ;Morada Nova de Minas,MG,Brasil;MG;Pessoa Jurídica
COOPERATIVA *****************************************;Indústria de pesca;RJI00041078 ;Angra dos Reis,RJ,Brasil;RJ;Pessoa Jurídica
COOPERATIVA **************************************;Indústria de pesca, Licença de aquicultor;ROI00040124,ROU11569235 ;Ji-Paraná,RO,Brasil;RO;Pessoa Jurídica
COPACOL **************************************;Indústria de pesca, Registro de aquicultor;PRI00038265,PRR11553250 ;Nova Aurora,PR,Brasil;PR;Pessoa Jurídica
COPISCES ***************************************************;Indústria de pesca;PRI00033357 ;Toledo,PR,Brasil;PR;Pessoa Jurídica
COPRIMAR *****************************************;Indústria de pesca;PAI00037637 ;Curuçá,PA,Brasil;PA;Pessoa Jurídica
COPRIMAR *****************************************;Indústria de pesca;PAI00037637 ;Curuçá,PA,Brasil;PA;Pessoa Jurídica
CORALFISH *****************************;Indústria de pesca;SPI00043160 ;Ribeirão Preto,SP,Brasil;SP;Pessoa Jurídica
Cordeiro ********************************************************;Indústria de pesca, Proprietário de embarcação;SCI00039617 ;Navegantes,SC,Brasil;SC;Pessoa Jurídica
COSTA *********************;Indústria de pesca;RNI00038419 ;Canguaretama,RN,Brasil;RN;Pessoa Jurídica
COSTA *******************************;Indústria de pesca;SCI00038765 ;Itajaí,SC,Brasil;SC;Pessoa Jurídica
COSTA *****************;Indústria de pesca;CEI00041700 ;Beberibe,CE,Brasil;CE;Pessoa Jurídica
COSTA *******************************;Indústria de pesca;PAI00001940 ;Belém,PA,Brasil;PA;Pessoa Jurídica
COSTA ****************;Indústria de pesca, Proprietário de embarcação;SCI00023414 ;Navegantes,SC,Brasil;SC;Pessoa Jurídica
COSTA ****************;Indústria de pesca, Proprietário de embarcação;SCI00023414 ;Navegantes,SC,Brasil;SC;Pessoa Jurídica
CRISTIANE *********************;Indústria de pesca;SPI00034149 ;São Paulo,SP,Brasil;SP;Pessoa Jurídica
CRISTIAN *********;Indústria de pesca;PRI00037115 ;Antonina,PR,Brasil;PR;Pessoa Jurídica
CRISTIANO ************************;Indústria de pesca;PRI00030545 ;Guaratuba,PR,Brasil;PR;Pessoa Jurídica
CRUSOE *********************************************;Indústria de pesca;CEI00037609 ;São Gonçalo do Amarante,CE,Brasil;CE;Pessoa Jurídica
CRUSOE *********************************************;Indústria de pesca;CEI00031037 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
CRUSOE *********************************************;Indústria de pesca;CEI00031037 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
CSL *************;Indústria de pesca;PRI00044208 ;Guaratuba,PR,Brasil;PR;Pessoa Jurídica
CSL *****************;Indústria de pesca;PRI00030675 ;Guaratuba,PR,Brasil;PR;Pessoa Jurídica
CUNHA ***********************************************;Indústria de pesca;PAI00043336 ;Belém,PA,Brasil;PA;Pessoa Jurídica
CUNHAU **************;Indústria de pesca;API00039387 ;Calçoene,AP,Brasil;AP;Pessoa Jurídica
C. *********************************;Indústria de pesca;PRI00044226 ;Nova Prata do Iguaçu,PR,Brasil;PR;Pessoa Jurídica
C.VALE ****************************;Indústria de pesca;PRI00033577 ;Palotina,PR,Brasil;PR;Pessoa Jurídica
DAIZINHO *************;Indústria de pesca;SCI00040978 ;Laguna,SC,Brasil;SC;Pessoa Jurídica
Damien ************************;Indústria de pesca;RSI00042468 ;Sapucaia do Sul,RS,Brasil;RS;Pessoa Jurídica
Damien ************************;Indústria de pesca;RSI00042468 ;Sapucaia do Sul,RS,Brasil;RS;Pessoa Jurídica
